Brand,CPU,RAM,Width,SSD,Price
hp,Intel Core i5,16.0,16.1,512.0,510790
asus,Intel Core i5,8.0,14.0,512.0,549915
asus,Intel Core i7,16.0,15.6,512.0,629990
lenovo,AMD Ryzen 5,8.0,15.6,512.0,529000
lenovo,Intel Core i3,8.0,15.6,256.0,200000
asus,Intel Core i7,16.0,15.6,1000.0,810790
acer,Intel Core i3,8.0,15.6,512.0,223003
zik,Intel Celeron,8.0,11.6,64.0,110000
asus,Intel Core i5,16.0,15.6,512.0,502000
asus,AMD Ryzen 5,8.0,15.6,512.0,399990
asus,Intel Core i3,8.0,15.6,256.0,238800
hp,AMD Ryzen 5,16.0,16.1,512.0,503590
lenovo,AMD Athlon,8.0,15.6,256.0,164990
lenovo,Intel Core i5,8.0,15.6,512.0,499990
hp,AMD Ryzen 5,16.0,16.1,512.0,555590
acer,AMD Ryzen 7,16.0,15.6,512.0,989990
asus,Intel Core i3,8.0,15.6,512.0,319990
asus,Intel Core i3,8.0,15.6,256.0,229990
hp,AMD Ryzen 5,8.0,15.6,512.0,249000
hp,Intel Core i5,16.0,15.6,512.0,479880
hp,Intel Core i5,8.0,15.6,512.0,298999
razer,Intel Core i7,16.0,17.3,1024.0,699990
hp,AMD Ryzen 7,16.0,16.1,512.0,849990
acer,AMD Ryzen 9,16.0,17.3,1000.0,999970
asus,Intel Core i3,8.0,15.6,512.0,299990
asus,AMD Ryzen 7,16.0,15.6,1000.0,1179990
hp,Intel Core i7,8.0,15.6,512.0,408586
asus,Intel Core i3,8.0,15.6,512.0,389990
acer,Intel Core i5,8.0,15.6,512.0,232780
great,Intel Celeron,6.0,14.0,128.0,145698
acer,Intel Core i5,8.0,14.0,256.0,329990
asus,AMD Ryzen 7,16.0,14.0,512.0,483335
lenovo,Intel Core i5,16.0,15.6,512.0,583710
lenovo,Intel Celeron,4.0,14.0,128.0,149798
lenovo,Intel Core i5,16.0,14.0,256.0,843898
apple,Apple M2,16.0,14.2,512.0,989739
apple,Apple M2,16.0,14.2,512.0,996353
hp,Intel Core i5,16.0,16.1,512.0,516990
lenovo,Intel Core i5,16.0,16.0,512.0,529590
apple,,32.0,16.0,512.0,1119990
hp,Intel Core i7,32.0,17.3,1024.0,1479000
dell,Intel Core i7,16.0,15.6,1000.0,1684570
asus,Intel Core i5,16.0,15.6,512.0,438687
asus,Intel Core i5,16.0,13.4,512.0,799990
asus,AMD Ryzen 7,16.0,16.0,1024.0,952950
hp,AMD Ryzen 3,8.0,17.3,256.0,219990
asus,AMD Ryzen 9,16.0,17.3,1000.0,1200000
hp,Intel Core i7,8.0,15.6,512.0,490206
asus,AMD Ryzen 9,32.0,17.3,1024.0,1719990
asus,Intel Core i5,16.0,17.3,512.0,493989
asus,AMD Ryzen 7,16.0,15.6,512.0,619000
asus,Intel Core i5,16.0,16.0,1000.0,629889
hp,AMD Ryzen 5,16.0,16.1,512.0,528990
lenovo,Intel Core i5,16.0,16.0,1000.0,685000
chuwi,Intel Core i3,16.0,15.6,512.0,229990
acer,Intel Core i3,8.0,15.6,256.0,194990
asus,Intel Core i9,32.0,16.0,1024.0,1498500
hp,Intel Core i7,8.0,17.3,512.0,437760
lenovo,Intel Core i5,8.0,15.6,256.0,230910
lenovo,Intel Core i7,8.0,15.6,512.0,399999
huawei,Intel Core i5,16.0,15.6,512.0,349990
huawei,Intel Core i5,8.0,15.6,256.0,259990
hp,Intel N100,8.0,15.6,256.0,174990
hp,Intel Core i9,32.0,17.3,2000.0,1699990
acer,Intel Core i5,16.0,15.6,512.0,249990
hp,Intel Core i5,16.0,15.6,512.0,489990
asus,Intel Core i3,8.0,14.0,256.0,499990
asus,Intel Core i5,16.0,16.0,512.0,599990
apple,Apple M2,8.0,15.3,512.0,849941
noutbuk,Intel Core i3,8.0,15.6,512.0,248000
asus,AMD Ryzen 5,8.0,15.6,512.0,296990
asus,Intel Core i5,8.0,17.3,512.0,379990
apple,Apple M2,16.0,15.3,513.0,1041000
lenovo,Intel Celeron,4.0,15.6,240.0,136646
asus,Intel Core i5,16.0,15.6,512.0,339900
hp,Intel Core i3,8.0,14.0,512.0,197990
acer,Intel Celeron,8.0,14.0,256.0,287870
acer,Intel Core i5,8.0,14.0,512.0,299990
acer,Intel Core i5,16.0,15.6,512.0,349000
asus,Intel Core i3,8.0,14.0,256.0,319890
acer,Intel Core i5,16.0,17.3,512.0,549985
acer,AMD Ryzen 5,8.0,15.6,1000.0,189900
asus,AMD Ryzen 7,16.0,16.0,512.0,383988
hp,Intel Core i5,16.0,16.1,512.0,488990
lenovo,Intel Core i7,16.0,15.6,512.0,598990
lenovo,AMD Ryzen 7,16.0,16.0,512.0,547990
lenovo,AMD Ryzen 7,16.0,14.0,512.0,579990
lenovo,AMD Ryzen 5,16.0,16.0,1024.0,705791
asus,Intel Core i7,16.0,15.6,1024.0,634580
asus,AMD Ryzen 9,16.0,15.6,1024.0,599988
acer,Intel Core i3,8.0,15.6,512.0,223658
acer,Intel Core i5,16.0,14.0,512.0,289820
asus,Intel Core i5,8.0,15.6,512.0,289990
asus,Intel Core i5,16.0,16.0,1024.0,778990
asus,Intel Core i5,16.0,16.0,512.0,337883
acer,Intel Core i5,8.0,15.6,512.0,339000
lenovo,Intel Core i7,16.0,16.0,1024.0,614990
lenovo,AMD Ryzen 7,16.0,16.0,512.0,649990
lenovo,AMD Ryzen 3,8.0,15.6,256.0,188983
acer,Intel Core i5,8.0,15.6,256.0,199990
acer,Intel Core i7,16.0,15.6,512.0,550000
zentek,Intel N95,16.0,15.6,512.0,189900
thunderobot,Intel Core i9,32.0,16.0,2000.0,1183000
asus,AMD Ryzen 5,8.0,15.6,512.0,399990
apple,,8.0,13.6,256.0,566989
lenovo,AMD Ryzen 5,16.0,15.6,512.0,282101
acer,Intel Core i9,16.0,18.0,1000.0,1599790
acer,Intel Core i5,16.0,15.6,512.0,437943
acer,Intel Core i5,16.0,15.6,512.0,494988
acer,AMD Ryzen 3,8.0,15.6,512.0,234993
acer,Intel Core i5,16.0,15.6,512.0,319990
acer,Intel Core i5,16.0,15.6,512.0,379990
acer,Intel Core i3,8.0,15.6,256.0,229890
asus,Intel Core i5,16.0,15.6,512.0,398921
asus,Intel Pentium,8.0,14.0,256.0,199999
asus,Intel Core i3,8.0,15.6,256.0,249999
asus,Intel Core i3,8.0,16.0,512.0,283156
gigabyte,Intel Core i7,16.0,16.0,512.0,589990
acer,Intel Core i7,16.0,17.3,1000.0,642543
asus,AMD Ryzen 5,16.0,15.6,512.0,249990
asus,Intel Core i7,16.0,15.6,512.0,598999
asus,AMD Ryzen 5,8.0,15.6,512.0,240420
apple,Apple M3,36.0,16.2,1024.0,1783435
asus,Intel Core i5,16.0,17.3,512.0,488999
acer,Intel Core i9,32.0,15.6,2000.0,2699990
hp,Intel Core i5,16.0,16.1,512.0,613531
apple,Apple M3,36.0,16.2,1024.0,1786213
ardor,Intel Core i5,16.0,15.6,512.0,599990
hp,Intel Core i5,16.0,13.5,1000.0,699990
zentek,Intel Core i7,16.0,16.0,512.0,520000
kuu,Intel Celeron,16.0,15.6,512.0,139900
acer,Intel Core i3,8.0,15.6,256.0,199990
asus,Intel Core i5,8.0,16.0,512.0,419985
asus,Intel Core i7,16.0,15.6,512.0,625990
acer,Intel Core i5,8.0,17.3,512.0,249990
asus,Intel Core i5,32.0,15.6,1000.0,529000
lenovo,Intel Core i7,32.0,16.0,1000.0,974900
lenovo,Intel Core i7,16.0,15.6,1000.0,387995
lenovo,Intel Core i5,16.0,16.0,512.0,295555
asus,Intel Core i5,16.0,15.6,1000.0,439000
asus,Intel Core i5,16.0,15.6,1000.0,449000
asus,Intel Core i5,16.0,15.6,512.0,319900
asus,Intel Core i5,16.0,15.6,512.0,369000
lenovo,,8.0,15.6,256.0,142000
xiaomi,,16.0,16.0,1000.0,538499
lenovo,AMD Ryzen 5,8.0,15.6,512.0,211836
asus,AMD Ryzen 9,16.0,16.0,1000.0,999994
huawei,Intel Core i9,16.0,16.0,1000.0,499589
lenovo,Intel Core i7,32.0,16.0,1000.0,956989
lenovo,AMD Ryzen 7,16.0,15.6,512.0,675853
asus,AMD Ryzen 5,16.0,16.0,512.0,249990
xiaomi,Intel Core i5,16.0,16.0,512.0,485681
asus,AMD Ryzen 9,16.0,15.6,512.0,629990
hp,Intel Core i5,16.0,15.6,1000.0,578890
asus,Intel Core i5,16.0,16.0,512.0,515988
asus,Intel Core i3,16.0,15.6,512.0,259000
asus,Intel Core i3,8.0,15.6,512.0,349990
asus,AMD Ryzen 5,16.0,14.0,1000.0,379890
acer,Intel Core i9,16.0,16.0,1000.0,1432811
hp,AMD Ryzen 5,8.0,15.6,512.0,399990
gigabyte,Intel Core i7,16.0,15.6,1000.0,489990
dell,Intel Core i7,16.0,15.6,512.0,473260
